pair_id,cell_id,run_id,train_seed,eval_seed,arm_id,arm_mode,family,success,final_distance,first_action_mse,total_reward,steps
11:1000,11:1000:control,language-alpha2-seed-11,11,1000,control,none,reach_green_top,0,0.3423345386981964,0.012091517448425293,-13.435169458389282,40
11:1001,11:1001:control,language-alpha2-seed-11,11,1001,control,none,reach_green_top,0,0.5016850233078003,0.05880847945809364,-19.824444204568863,40
11:1002,11:1002:control,language-alpha2-seed-11,11,1002,control,none,reach_red_left,0,0.6009677052497864,0.04259495437145233,-23.627722561359406,40
11:1003,11:1003:control,language-alpha2-seed-11,11,1003,control,none,reach_red_left,0,0.15311777591705322,0.023170504719018936,-6.038035906851292,40
11:1004,11:1004:control,language-alpha2-seed-11,11,1004,control,none,reach_blue_right,0,0.16588380932807922,0.003801066428422928,-7.082426816225052,40
11:1005,11:1005:control,language-alpha2-seed-11,11,1005,control,none,reach_blue_right,0,0.7766897678375244,0.05832500755786896,-30.891518592834473,40
11:1006,11:1006:control,language-alpha2-seed-11,11,1006,control,none,reach_green_top,0,0.34233441948890686,0.008976846933364868,-13.405207425355911,40
11:1007,11:1007:control,language-alpha2-seed-11,11,1007,control,none,reach_green_top,0,0.5016850829124451,0.10133499652147293,-19.921132296323776,40
11:1008,11:1008:control,language-alpha2-seed-11,11,1008,control,none,reach_red_left,0,0.6009676456451416,0.05630096048116684,-23.582786291837692,40
11:1009,11:1009:control,language-alpha2-seed-11,11,1009,control,none,reach_red_left,1,0.022278888151049614,0.02073436975479126,-0.022278888151049614,1
11:1010,11:1010:control,language-alpha2-seed-11,11,1010,control,none,reach_blue_right,0,0.16588395833969116,0.004835446365177631,-7.027546182274818,40
11:1011,11:1011:control,language-alpha2-seed-11,11,1011,control,none,reach_blue_right,0,0.7766900062561035,0.06250415742397308,-30.81881409883499,40
11:1012,11:1012:control,language-alpha2-seed-11,11,1012,control,none,reach_green_top,0,0.34233441948890686,0.012091669254004955,-13.3751782476902,40
11:1013,11:1013:control,language-alpha2-seed-11,11,1013,control,none,reach_green_top,0,0.5016850233078003,0.04661586880683899,-19.72873628139496,40
11:1014,11:1014:control,language-alpha2-seed-11,11,1014,control,none,reach_red_left,0,0.6009675860404968,0.0437326580286026,-23.65905174612999,40
11:1015,11:1015:control,language-alpha2-seed-11,11,1015,control,none,reach_red_left,0,0.15311776101589203,0.029606033116579056,-6.061297558248043,40
11:1016,11:1016:control,language-alpha2-seed-11,11,1016,control,none,reach_blue_right,0,0.16588392853736877,0.005926081445068121,-6.98637367784977,40
11:1017,11:1017:control,language-alpha2-seed-11,11,1017,control,none,reach_blue_right,0,0.7766900062561035,0.08906987309455872,-30.563250929117203,40
11:1018,11:1018:control,language-alpha2-seed-11,11,1018,control,none,reach_green_top,0,0.34233444929122925,0.01138308085501194,-13.470865726470947,40
11:1019,11:1019:control,language-alpha2-seed-11,11,1019,control,none,reach_green_top,0,0.5016850829124451,0.0874163955450058,-19.914726465940475,40
11:1020,11:1020:control,language-alpha2-seed-11,11,1020,control,none,reach_red_left,0,0.6009677052497864,0.03618418052792549,-23.697052866220474,40
11:1021,11:1021:control,language-alpha2-seed-11,11,1021,control,none,reach_red_left,0,0.15311777591705322,0.026865452527999878,-6.049014434218407,40
11:1022,11:1022:control,language-alpha2-seed-11,11,1022,control,none,reach_blue_right,0,0.1658840924501419,0.007265625521540642,-7.0489461570978165,40
11:1023,11:1023:control,language-alpha2-seed-11,11,1023,control,none,reach_blue_right,0,0.776689887046814,0.06753179430961609,-30.81085067987442,40
11:1000,11:1000:mask,language-alpha2-seed-11,11,1000,mask,mask,reach_green_top,0,0.16261745989322662,0.0053777918219566345,-6.541654616594315,40
11:1001,11:1001:mask,language-alpha2-seed-11,11,1001,mask,mask,reach_green_top,0,0.1626175493001938,0.0016354694962501526,-6.629508972167969,40
11:1002,11:1002:mask,language-alpha2-seed-11,11,1002,mask,mask,reach_red_left,0,0.5236726999282837,0.036051128059625626,-20.698137521743774,40
11:1003,11:1003:mask,language-alpha2-seed-11,11,1003,mask,mask,reach_red_left,0,0.5236728191375732,0.04008132964372635,-20.63379681110382,40
11:1004,11:1004:mask,language-alpha2-seed-11,11,1004,mask,mask,reach_blue_right,0,0.33239373564720154,0.007841236889362335,-13.49361103773117,40
11:1005,11:1005:mask,language-alpha2-seed-11,11,1005,mask,mask,reach_blue_right,0,0.3323938250541687,0.022597284987568855,-13.447214484214783,40
11:1006,11:1006:mask,language-alpha2-seed-11,11,1006,mask,mask,reach_green_top,0,0.16261732578277588,0.004607998300343752,-6.543932795524597,40
11:1007,11:1007:mask,language-alpha2-seed-11,11,1007,mask,mask,reach_green_top,0,0.1626172959804535,0.009445041418075562,-6.538590878248215,40
11:1008,11:1008:mask,language-alpha2-seed-11,11,1008,mask,mask,reach_red_left,0,0.5236728191375732,0.05174637958407402,-20.65716651082039,40
11:1009,11:1009:mask,language-alpha2-seed-11,11,1009,mask,mask,reach_red_left,0,0.5236727595329285,0.0451960526406765,-20.59663486480713,40
11:1010,11:1010:mask,language-alpha2-seed-11,11,1010,mask,mask,reach_blue_right,0,0.33239373564720154,0.014385588467121124,-13.452896118164062,40
11:1011,11:1011:mask,language-alpha2-seed-11,11,1011,mask,mask,reach_blue_right,0,0.33239367604255676,0.017814267426729202,-13.407148629426956,40
11:1012,11:1012:mask,language-alpha2-seed-11,11,1012,mask,mask,reach_green_top,0,0.16261734068393707,0.007617522496730089,-6.522015959024429,40
11:1013,11:1013:mask,language-alpha2-seed-11,11,1013,mask,mask,reach_green_top,0,0.162617489695549,0.0043800389394164085,-6.630901992321014,40
11:1014,11:1014:mask,language-alpha2-seed-11,11,1014,mask,mask,reach_red_left,0,0.5236726999282837,0.038846205919981,-20.725419610738754,40
11:1015,11:1015:mask,language-alpha2-seed-11,11,1015,mask,mask,reach_red_left,0,0.5236726403236389,0.04133230075240135,-20.702749729156494,40
11:1016,11:1016:mask,language-alpha2-seed-11,11,1016,mask,mask,reach_blue_right,0,0.33239370584487915,0.014867257326841354,-13.423432260751724,40
11:1017,11:1017:mask,language-alpha2-seed-11,11,1017,mask,mask,reach_blue_right,0,0.3323936462402344,0.0360209122300148,-13.26194578409195,40
11:1018,11:1018:mask,language-alpha2-seed-11,11,1018,mask,mask,reach_green_top,0,0.162617489695549,0.004115593619644642,-6.563757061958313,40
11:1019,11:1019:mask,language-alpha2-seed-11,11,1019,mask,mask,reach_green_top,0,0.16261741518974304,0.002284419257193804,-6.578557878732681,40
11:1020,11:1020:mask,language-alpha2-seed-11,11,1020,mask,mask,reach_red_left,0,0.5236725807189941,0.029826665297150612,-20.760429739952087,40
11:1021,11:1021:mask,language-alpha2-seed-11,11,1021,mask,mask,reach_red_left,0,0.5236726403236389,0.032641373574733734,-20.688289672136307,40
11:1022,11:1022:mask,language-alpha2-seed-11,11,1022,mask,mask,reach_blue_right,0,0.3323938250541687,0.02109096199274063,-13.464672327041626,40
