pair_id,cell_id,run_id,train_seed,eval_seed,arm_id,arm_mode,family,success,final_distance,first_action_mse,total_reward,steps
11:1000,11:1000:control,visual-beta1-image-seed-11,11,1000,control,none,direct_reach,0,0.6169668436050415,0.00011457799701020122,-11.0374114215374,24
11:1001,11:1001:control,visual-beta1-image-seed-11,11,1001,control,none,waypoint_reach,0,0.23972353339195251,0.0008783265948295593,-6.727684006094933,24
11:1002,11:1002:control,visual-beta1-image-seed-11,11,1002,control,none,direct_reach,0,0.6970179677009583,0.0007667207391932607,-13.615665704011917,24
11:1003,11:1003:control,visual-beta1-image-seed-11,11,1003,control,none,waypoint_reach,0,0.40334099531173706,0.0003468137001618743,-6.940828187391162,24
11:1004,11:1004:control,visual-beta1-image-seed-11,11,1004,control,none,direct_reach,0,0.3666859269142151,0.0036038304679095745,-7.369611755013466,24
11:1005,11:1005:control,visual-beta1-image-seed-11,11,1005,control,none,waypoint_reach,0,0.414699524641037,0.0005478147068060935,-6.713791988790035,24
11:1006,11:1006:control,visual-beta1-image-seed-11,11,1006,control,none,direct_reach,0,0.6205583810806274,0.0012929742224514484,-10.936944052577019,24
11:1007,11:1007:control,visual-beta1-image-seed-11,11,1007,control,none,waypoint_reach,0,0.37077057361602783,0.0009570511756464839,-7.395627588033676,24
11:1008,11:1008:control,visual-beta1-image-seed-11,11,1008,control,none,direct_reach,0,0.2844659984111786,0.0009624353842809796,-6.330400615930557,24
11:1009,11:1009:control,visual-beta1-image-seed-11,11,1009,control,none,waypoint_reach,0,0.27884337306022644,0.0006106392247602344,-7.164023816585541,24
11:1010,11:1010:control,visual-beta1-image-seed-11,11,1010,control,none,direct_reach,0,0.6192329525947571,0.00022302658180706203,-11.646178394556046,24
11:1011,11:1011:control,visual-beta1-image-seed-11,11,1011,control,none,waypoint_reach,0,0.419254332780838,0.00021353451302275062,-7.094747269526124,24
11:1012,11:1012:control,visual-beta1-image-seed-11,11,1012,control,none,direct_reach,0,0.5193641781806946,0.0009511609096080065,-9.07668973505497,24
11:1013,11:1013:control,visual-beta1-image-seed-11,11,1013,control,none,waypoint_reach,0,0.47469571232795715,0.0008045411668717861,-9.198523968458176,24
11:1014,11:1014:control,visual-beta1-image-seed-11,11,1014,control,none,direct_reach,0,0.6107478737831116,0.0006533300038427114,-10.854632258415222,24
11:1015,11:1015:control,visual-beta1-image-seed-11,11,1015,control,none,waypoint_reach,0,0.4192734658718109,0.0007390574901364744,-6.788483738899231,24
11:1016,11:1016:control,visual-beta1-image-seed-11,11,1016,control,none,direct_reach,0,0.652865469455719,0.00018186558736488223,-11.341730892658234,24
11:1017,11:1017:control,visual-beta1-image-seed-11,11,1017,control,none,waypoint_reach,0,0.20427799224853516,0.001070269849151373,-6.476062521338463,24
11:1018,11:1018:control,visual-beta1-image-seed-11,11,1018,control,none,direct_reach,0,0.2222949117422104,0.0007584432023577392,-5.109834998846054,24
11:1019,11:1019:control,visual-beta1-image-seed-11,11,1019,control,none,waypoint_reach,0,0.324484258890152,0.00029886432457715273,-6.948104456067085,24
11:1020,11:1020:control,visual-beta1-image-seed-11,11,1020,control,none,direct_reach,0,0.4411410987377167,0.0034638107754290104,-8.672892525792122,24
11:1021,11:1021:control,visual-beta1-image-seed-11,11,1021,control,none,waypoint_reach,0,0.30134087800979614,0.0011745116207748652,-6.7027875781059265,24
11:1022,11:1022:control,visual-beta1-image-seed-11,11,1022,control,none,direct_reach,0,0.7298188805580139,0.0006846333853900433,-13.946708649396896,24
11:1023,11:1023:control,visual-beta1-image-seed-11,11,1023,control,none,waypoint_reach,0,0.6158021092414856,0.0007387474179267883,-12.395260632038116,24
11:1000,11:1000:occlusion,visual-beta1-image-seed-11,11,1000,occlusion,occlusion,direct_reach,0,0.179269939661026,0.006654529366642237,-6.872595563530922,24
11:1001,11:1001:occlusion,visual-beta1-image-seed-11,11,1001,occlusion,occlusion,waypoint_reach,0,0.7633732557296753,0.010220976546406746,-17.735087156295776,24
